"Date","Android","Unknown","iOS","Linux","Series 40","Windows","SymbianOS","LG","Nokia Unknown","Samsung","Sony Ericsson","BlackBerry OS","bada","Playstation","Other"
2012,24.36,7.83,23.54,0.13,12.33,2.78,18.43,0.24,0,3.39,3.81,2.03,0.55,0.24,0.34
2013,23.71,15.53,12.15,0.55,15.72,1.35,10.85,4.41,0.27,6.7,6.01,2.27,0.22,0.09,0.18
2014,42.2,18.17,9.17,0.48,10.09,2.42,5.56,2.49,0.62,3.64,3.47,1.37,0.17,0.08,0.06
2015,55.34,21.7,3,7.13,3.22,2,1.94,1.36,1.42,0.96,0.66,1.03,0.07,0.11,0.05
2016,69.96,12.71,1.51,7.28,1.39,2.32,1.09,1.01,1.45,0.47,0.24,0.47,0.06,0.02,0.03
2017,75.19,16.71,1.8,0.77,0.6,1.78,0.54,0.99,0.78,0.29,0.13,0.35,0.02,0.02,0.03
2018,78.8,15.07,2.24,0.44,0.6,1.1,0.29,0.74,0.29,0.15,0.06,0.16,0.02,0.02,0.01
2019,86.88,6.82,3.94,0.38,0.18,1.27,0.1,0.03,0.06,0.15,0.02,0.14,0,0.02,0.01
2020,89.28,2.88,6.89,0.15,0.07,0.5,0.03,0,0.02,0.06,0.01,0.09,0,0.01,0.01
2021,87.55,1.46,10.27,0.07,0.04,0.34,0.03,0,0.01,0.09,0,0.07,0,0.04,0.03
2022,88.97,0.61,9.85,0.02,0.01,0.32,0.01,0,0,0.06,0,0.12,0,0.01,0.02
2023,86.7,0.94,12,0.04,0.02,0.05,0,0.01,0.01,0.11,0,0.06,0,0.01,0.03
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
