"Date","Android","iOS","Series 40","SymbianOS","Unknown","Samsung","Windows","Nokia Unknown","Linux","Sony Ericsson","bada","LG","BlackBerry OS","MeeGo","Other"
2012,17.37,9.98,22.4,33.8,7.95,3.77,0.93,0,0.29,2.55,0.43,0.18,0.09,0.23,0.04
2013,24.44,7.42,24.67,21.92,11.48,5.76,0.7,0.05,0.46,1.98,0.37,0.48,0.14,0.11,0.02
2014,49.88,15.05,12.8,9.73,5.05,3.45,1.87,0.4,0.22,0.55,0.47,0.3,0.08,0.15,0
2015,63.25,7.66,10.07,7.89,2.73,2.72,1.44,1.55,1.61,0.19,0.57,0.16,0.08,0.07,0.01
2016,72.49,6.4,6.46,3.86,2.69,1.8,1.3,1.82,2.52,0.09,0.25,0.13,0.16,0.02,0.01
2017,82.9,7.17,3.27,1.5,2.05,0.64,0.81,1.14,0.26,0.02,0.11,0.05,0.05,0.02,0.01
2018,87.09,6.22,1.8,0.97,1.65,0.29,0.59,1.08,0.19,0.02,0.07,0.04,0.01,0,0
2019,89.88,7.48,0.88,0.51,0.35,0.18,0.25,0.3,0.14,0.01,0.01,0.01,0.01,0,0
2020,89.31,9.65,0.38,0.12,0.14,0.09,0.08,0.15,0.07,0,0,0,0.01,0,0
2021,88.61,10.76,0.23,0.05,0.09,0.09,0.03,0.1,0.02,0,0,0,0.01,0,0
2022,86.97,12.72,0.12,0.02,0.02,0.07,0.01,0.04,0.01,0,0,0,0,0,0.01
2023,86.09,13.75,0.04,0.01,0.01,0.07,0,0.02,0.01,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
