"Date","Android","Unknown","iOS","Series 40","SymbianOS","Nokia Unknown","Windows","BlackBerry OS","Samsung","Linux","Sony Ericsson","LG","Tizen","Other"
2012,16.59,7.49,12.26,34.25,24.56,0,0.85,3.08,0.4,0.05,0.32,0.02,0,0.14
2013,13.62,23.01,3.49,42.32,12.65,0.21,0.65,1.11,1.35,0.1,1.15,0.22,0,0.11
2014,23.21,35.38,5.19,27.53,3.78,0.94,1.55,0.95,0.75,0.22,0.27,0.2,0,0.03
2015,53.03,26.94,3.87,8.14,1.34,4.18,1.16,0.41,0.25,0.45,0.08,0.09,0,0.05
2016,75.22,8.91,5.78,3.25,0.46,4.1,1.29,0.17,0.2,0.52,0.04,0.03,0.01,0.02
2017,88.88,3,4.76,0.9,0.12,1.45,0.5,0.05,0.03,0.21,0.01,0.02,0.06,0.01
2018,94.95,0.73,3.61,0.17,0.04,0.15,0.17,0.01,0.01,0.12,0.01,0,0.02,0
2019,96.27,0.1,3.28,0.07,0.02,0.06,0.07,0.01,0.01,0.11,0,0,0.01,0.01
2020,94.93,0.01,4.95,0.01,0,0.02,0.01,0,0.02,0.03,0,0,0.01,0
2021,94.86,0.01,5.05,0,0,0.01,0,0,0.03,0.02,0,0,0.01,0
2022,88.08,0,11.82,0.01,0,0.01,0.01,0,0.05,0.02,0,0,0,0
2023,87.34,0.01,12.57,0,0,0,0,0,0.06,0.01,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
