"Date","Windows","Unknown","OS X","Linux","iOS","Android","Chrome OS","Other"
2009,99.12,0.1,0.74,0.04,0,0,0,0
2010,99.27,0.11,0.4,0.16,0.07,0,0,0
2011,97.35,0.05,1.3,0.19,0.93,0.19,0,0
2012,92.96,0.04,3.09,0.77,2.46,0.63,0,0.05
2013,93.15,0.02,2.72,2.03,0.01,2.02,0,0.05
2014,94.22,0.79,2.5,1.94,0,0.53,0,0
2015,90.83,4.45,2.64,2.09,0,0,0,0
2016,85.6,8.92,2.52,2.95,0,0,0,0
2017,92.34,3.18,3.25,1.22,0,0,0.01,0
2018,88.58,8.53,1.56,1.08,0,0,0.25,0
2019,88.27,8.35,2.16,1.21,0,0,0.01,0
2020,87.26,9.47,1.94,1.33,0,0,0,0
2021,79.01,18.19,1.31,1.5,0,0,0,0
2022,89.88,2.98,4.49,2.64,0,0,0,0
2023,81.01,9.76,2.89,6.32,0,0,0.01,0.01
