"Date","Android","iOS","Series 40","SymbianOS","Windows","Unknown","Samsung","Sony Ericsson","Linux","BlackBerry OS","Nokia Unknown","bada","MeeGo","LG","Other"
2012,39.86,13.88,15.81,22.73,0.78,2.61,0.94,1.77,0.34,0.09,0,0.53,0.31,0.26,0.09
2013,48.37,15.58,16.96,12.52,0.65,2.51,1.19,0.9,0.47,0.11,0.02,0.33,0.18,0.18,0.04
2014,64.55,18.33,9.52,3.83,1.42,1.16,0.37,0.24,0.18,0.09,0.12,0.12,0.05,0.02,0
2015,73,19.91,3.16,1.99,0.6,0.49,0.1,0.14,0.11,0.11,0.3,0.05,0.03,0.01,0.01
2016,77.55,19.77,1.12,0.67,0.54,0.04,0.04,0,0.05,0.1,0.05,0.05,0.02,0,0
2017,85.44,12.39,0.61,0.37,0.67,0.21,0.05,0,0.06,0.08,0.06,0.04,0.01,0,0
2018,89.91,8.92,0.04,0.19,0.54,0.29,0.02,0.01,0.01,0.03,0.01,0.01,0,0,0.01
2019,92.92,6.1,0,0.08,0.62,0.02,0.03,0,0.09,0.02,0,0.08,0,0,0.02
2020,93.1,6.64,0,0,0.05,0.01,0.14,0,0.01,0.05,0,0,0,0,0
2021,93.96,5.86,0,0,0.03,0.01,0.08,0,0.01,0.04,0,0,0,0,0
2022,59.42,40.51,0,0,0,0,0.06,0,0,0,0,0,0,0,0
2023,91.84,8.12,0,0,0,0,0.03,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
