"Date","Android","iOS","Samsung","Windows","Unknown","Linux","SymbianOS","Other"
2012,60.76,36.51,0.04,0.93,0.06,0.88,0.36,0.46
2013,68.75,29.5,0.01,0.92,0.14,0.32,0.15,0.2
2014,78.36,20.67,0.01,0.66,0.13,0.08,0.03,0.08
2015,76.88,22.57,0,0.39,0.05,0.04,0.01,0.06
2016,67.79,31.71,0,0.37,0.03,0.02,0,0.06
2017,63.49,36.2,0.03,0.17,0.05,0.01,0,0.05
2018,48.27,51.47,0.17,0.04,0.02,0,0,0.02
2019,46.84,52.87,0.25,0.02,0.01,0,0,0.01
2020,50.83,48.56,0.59,0.01,0.02,0,0,0
2021,47.25,51.65,1.08,0,0.01,0,0,0
2022,45.15,53.3,1.54,0,0,0,0,0
2023,39.8,58.23,1.96,0,0,0,0,0
2009,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
