"Date","Android","Unknown","Series 40","Linux","iOS","SymbianOS","Windows","Samsung","Nokia Unknown","Sony Ericsson","BlackBerry OS","KaiOS","LG","bada","Other"
2012,13.61,8.32,32.99,0.16,8.7,27.17,0.97,3.94,0,2.52,1.16,0,0.12,0.14,0.21
2013,17.82,24.88,33.55,0.34,2.73,10.78,0.65,4.62,0.25,2.67,1.04,0,0.56,0.06,0.05
2014,34.63,29.1,22.12,0.34,1.99,5.27,1.19,2.27,0.5,1.43,0.76,0,0.3,0.06,0.03
2015,61.34,19.69,6.24,7,1.25,1.16,0.9,0.5,1.11,0.28,0.41,0,0.07,0.02,0.01
2016,74.1,13.87,3.33,4.94,0.79,0.48,0.92,0.19,1.03,0.08,0.21,0,0.04,0.01,0.01
2017,60.67,30.86,3.48,0.63,1.54,0.44,0.91,0.2,0.97,0.05,0.17,0,0.03,0.01,0.04
2018,69.37,22.05,3.06,0.35,2.93,0.38,0.92,0.15,0.55,0.03,0.1,0,0.05,0,0.05
2019,83.57,8.01,1.19,0.37,5.73,0.14,0.52,0.07,0.29,0.01,0.06,0.02,0,0,0.03
2020,85.86,4.85,0.14,0.23,8.16,0.03,0.16,0.04,0.11,0,0.03,0.38,0,0,0.02
2021,71.83,21.4,0.05,0.07,5.9,0.01,0.1,0.05,0.1,0,0.02,0.48,0,0,0.01
2022,78.51,12.73,0.09,0.04,7.84,0.01,0.02,0.06,0.07,0,0.01,0.62,0,0,0
2023,81.1,9.91,0.04,0.02,7.33,0,0.03,0.05,0.05,0,0.01,1.45,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
