"Date","Android","iOS","Series 40","SymbianOS","Unknown","Windows","Samsung","Nokia Unknown","Sony Ericsson","Linux","BlackBerry OS","bada","LG","Playstation","Other"
2012,25.54,25.4,13,19.27,8.3,1.34,3.42,0,1.97,0.64,0.24,0.57,0.15,0.04,0.15
2013,38.27,24.83,12.01,9.61,8,1.16,3.45,0.06,1.18,0.46,0.19,0.37,0.34,0.01,0.05
2014,48.49,38.09,4.78,2.55,1.82,1.38,1.46,0.35,0.36,0.25,0.17,0.14,0.11,0.03,0.02
2015,60.05,25.77,4.67,1.96,1.51,1.98,1.41,1.16,0.25,0.57,0.3,0.18,0.14,0.03,0.02
2016,64.38,25,3.18,1.1,1.03,2.12,0.9,1.23,0.15,0.38,0.28,0.12,0.11,0.02,0.02
2017,69.99,24.25,1.25,0.54,0.46,1.84,0.46,0.74,0.08,0.1,0.16,0.05,0.04,0.02,0.01
2018,75.17,21.63,0.68,0.24,0.37,0.96,0.3,0.47,0.02,0.04,0.06,0.03,0.02,0.01,0
2019,76.62,21.85,0.37,0.09,0.07,0.49,0.23,0.19,0.01,0.03,0.04,0.01,0.01,0,0.01
2020,80.04,19.5,0.04,0.02,0.03,0.15,0.15,0.03,0,0.01,0.02,0,0,0,0
2021,80.97,18.65,0.03,0,0.01,0.05,0.26,0.02,0,0.01,0.01,0,0,0,0
2022,81,18.68,0.02,0,0.01,0.02,0.22,0.02,0,0,0,0,0,0,0
2023,69.48,30.19,0.02,0,0.01,0.02,0.21,0.02,0,0.03,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
