"Date","Android","Unknown","Series 40","iOS","Nokia Unknown","SymbianOS","Windows","Linux","Samsung","BlackBerry OS","Sony Ericsson","KaiOS","LG","bada","Other"
2012,15.3,15.66,32.56,8.08,0,16.53,1.03,0.09,4.66,2.39,2.94,0,0.25,0.25,0.25
2013,19.46,24.86,33.45,3.92,0.11,8.61,0.73,0.29,4.05,1.17,2.72,0,0.45,0.07,0.11
2014,34.52,28.86,21.24,4.08,0.72,3.67,1.95,0.48,2.06,0.8,1.26,0,0.28,0.05,0.03
2015,48.14,26.87,10.54,2.41,3.17,1.62,2.43,2.86,0.81,0.62,0.35,0,0.13,0.03,0.03
2016,55.87,26.05,6.29,1.65,3.6,0.89,2.31,2.1,0.54,0.38,0.2,0,0.08,0.02,0.02
2017,55.59,33.18,3.7,1.99,2.09,0.47,1.62,0.65,0.29,0.24,0.07,0,0.08,0.01,0.02
2018,64.8,26.82,1.95,2.86,0.83,0.29,1.39,0.63,0.17,0.19,0.03,0,0.02,0,0.02
2019,70.07,21.36,1.18,4.18,0.85,0.29,0.86,0.51,0.09,0.15,0.01,0.41,0,0,0.03
2020,78.75,12.71,0.31,6.74,0.33,0.04,0.26,0.29,0.05,0.07,0,0.41,0.01,0,0.03
2021,77.31,14.33,0.19,6.93,0.22,0.02,0.05,0.25,0.15,0.17,0,0.37,0,0,0.01
2022,78.39,14.06,0.09,6.61,0.12,0.01,0.01,0.1,0.11,0.17,0,0.31,0,0,0
2023,80.09,12.72,0.1,6.3,0.13,0.01,0.01,0.05,0.06,0,0,0.52,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
