"Date","Windows","OS X","Chrome OS","Linux","Unknown","iOS","Android","Playstation","","Nintendo","Other"
2009,88.76,10.01,0,0.65,0.22,0,0,0.29,0,0.04,0.02
2010,85.16,13.31,0,0.71,0.13,0.31,0,0.31,0,0.06,0.01
2011,82.3,14.78,0.01,0.76,0.07,1.61,0.09,0.32,0,0.05,0.02
2012,80.9,15.28,0.02,0.84,0.07,2.14,0.29,0.13,0.25,0.03,0.05
2013,83.41,14.53,0.11,1.33,0.22,0,0.4,0,0,0,0.01
2014,80.52,16.67,0.69,1.48,0.47,0,0.16,0,0,0,0.01
2015,77.05,18.56,1.3,1.9,1.17,0,0,0,0,0,0.02
2016,76.35,17.12,2.11,1.4,3.01,0,0,0,0,0,0.01
2017,73.86,20.59,3.04,1.61,0.89,0,0,0,0,0,0.01
2018,72.71,19.38,3.94,1.55,2.41,0,0,0,0,0,0.01
2019,69.42,20.12,5.29,1.62,3.54,0,0,0,0,0,0
2020,64.57,27.52,4.87,1.84,1.19,0,0,0,0,0,0.01
2021,61.1,28.04,6.51,1.9,2.44,0,0,0,0,0,0.01
2022,63.54,25.8,6.13,2.21,2.31,0,0,0,0,0,0.01
2023,56.66,31.32,7.58,2.26,2.17,0,0,0,0,0,0.02
