"Date","iOS","Android","Windows","Linux","BlackBerry OS","Series 40","Samsung","Unknown","SymbianOS","Playstation","Nintendo 3DS","webOS","Brew","LG","Nokia Unknown","Nintendo","Other"
2012,61.96,31.43,0.88,0.08,1.77,1.44,0.47,0.68,0.29,0.19,0.3,0.21,0.08,0.01,0,0.09,0.12
2013,61.47,31.31,1.13,1.58,2.38,0.62,0.34,0.4,0.22,0.09,0.17,0.1,0.05,0.04,0,0.06,0.03
2014,59.3,35.11,1.3,1.79,1.17,0.49,0.2,0.26,0.11,0.08,0.04,0.03,0.02,0.04,0.03,0.02,0.01
2015,56.94,39.34,1.54,1.36,0.37,0.07,0.04,0.13,0.02,0.06,0.03,0.01,0.02,0.02,0.04,0,0.01
2016,58.34,40.11,0.86,0.13,0.15,0.02,0.07,0.17,0.01,0.04,0.02,0,0.01,0.01,0.04,0,0.01
2017,57.95,41.21,0.34,0.04,0.08,0.01,0.12,0.16,0.01,0.02,0.01,0,0.01,0.01,0.02,0,0
2018,58.18,41.38,0.17,0.03,0.03,0,0.06,0.1,0,0.02,0.01,0,0.01,0.01,0,0,0.01
2019,58.24,41.5,0.09,0.02,0.03,0,0.06,0.02,0,0.01,0,0,0.01,0,0,0,0.01
2020,60,39.81,0.04,0.01,0.01,0,0.1,0.02,0,0.01,0,0,0,0,0,0,0.01
2021,58.58,41.13,0.02,0,0.01,0,0.24,0.01,0,0,0,0,0,0,0,0,0.01
2022,56.61,43.08,0.02,0.01,0,0,0.25,0.01,0,0,0,0,0,0,0,0,0.01
2023,57.91,41.65,0.07,0.03,0,0,0.26,0.03,0.02,0,0,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
