"Date","Android","iOS","Windows","Series 40","Unknown","Nokia Unknown","BlackBerry OS","SymbianOS","Samsung","LG","Firefox OS","Linux","Sony Ericsson","MeeGo","Motorola","Other"
2012,31.16,34.49,0.83,12.62,6.46,0,1.92,7.16,2.54,0.05,0,0.18,1.57,0.5,0.2,0.31
2013,42.85,28.72,3.49,11.52,3.84,0,1.58,3.45,2.07,0.51,0,0.27,0.92,0.44,0.2,0.12
2014,60.76,19.13,8.9,6.25,1.19,0.1,1.07,0.79,0.46,0.47,0.24,0.18,0.22,0.15,0.06,0.05
2015,65.67,14.53,11.02,4.33,0.45,1.16,0.85,0.39,0.22,0.33,0.65,0.23,0.06,0.04,0.03,0.04
2016,74.31,13.72,8.65,1.35,0.15,0.67,0.37,0.12,0.08,0.15,0.29,0.09,0.02,0.01,0,0.01
2017,87.36,8.97,2.43,0.52,0.18,0.26,0.06,0.03,0.05,0.08,0.04,0.03,0,0,0,0
2018,87.89,10.45,1.14,0.18,0.12,0.09,0.02,0.01,0.03,0.04,0.01,0.02,0.01,0,0,0
2019,82.81,16.43,0.65,0.02,0.01,0.02,0.01,0,0.02,0,0.01,0,0,0,0,0
2020,84.7,15.1,0.11,0.01,0.01,0,0.01,0,0.05,0,0.01,0,0,0,0,0
2021,84.84,14.97,0.02,0.01,0.01,0,0,0,0.14,0,0,0,0,0,0,0.01
2022,83.49,16.32,0.01,0,0.02,0,0,0,0.16,0,0,0,0,0,0,0
2023,81.45,18.31,0.02,0.01,0.02,0,0,0,0.18,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
