"Date","Android","iOS","Series 40","SymbianOS","Unknown","Nokia Unknown","Samsung","Windows","LG","Sony Ericsson","bada","Linux","BlackBerry OS","MeeGo","Other"
2012,12.91,8.51,31.77,32.51,9.98,0,1.46,0.3,0.14,1.94,0.1,0.22,0.09,0.04,0.04
2013,21.24,6.75,33.57,20.31,12.13,0.09,3.29,0.29,0.3,1.45,0.11,0.29,0.1,0.06,0.03
2014,40.68,21.42,19.01,9.52,4.09,0.82,2.28,0.84,0.21,0.51,0.15,0.28,0.07,0.11,0.01
2015,41,12.18,25.22,8.01,3.99,4.83,2.36,0.99,0.55,0.26,0.19,0.26,0.06,0.07,0.02
2016,51.73,10.84,17.93,4.94,5.21,4.97,1.87,0.98,0.68,0.16,0.23,0.36,0.08,0.02,0.01
2017,59.4,11.98,9.38,3.48,9.62,2.87,0.99,0.75,0.71,0.08,0.48,0.19,0.04,0.01,0.02
2018,71.96,8.34,8.22,1.72,6.06,1.85,0.56,0.45,0.39,0.07,0.28,0.03,0.02,0.01,0.02
2019,87.47,9.56,1.18,0.39,0.49,0.43,0.13,0.21,0.03,0,0.03,0.02,0.06,0,0.01
2020,90.2,9.1,0.22,0.04,0.12,0.1,0.09,0.06,0,0,0,0.04,0,0,0
2021,91.25,8.45,0.05,0.01,0.03,0.03,0.13,0.03,0,0,0,0,0.01,0,0
2022,89.75,10,0.02,0,0.02,0.02,0.16,0.03,0,0,0,0,0,0,0.01
2023,86.92,12.9,0.01,0,0.02,0,0.12,0.01,0,0,0,0.01,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
