"Date","iOS","Android","Windows","BlackBerry OS","Linux","Samsung","SymbianOS","Series 40","Other"
2012,48.61,31.25,0,4.17,0,0,9.72,6.25,0
2013,64.46,33.62,0.47,0.53,0.34,0,0.46,0,0.11
2014,59.9,38.54,0.54,0.18,0.52,0.01,0.24,0.06,0
2015,63.28,34.68,1.77,0.17,0.06,0.01,0.01,0,0.02
2016,64.66,33.5,1.48,0.29,0.03,0.01,0,0,0.02
2017,68.95,30.37,0.55,0.06,0.01,0.03,0.02,0,0.01
2018,71.42,28.24,0.3,0,0,0.03,0.01,0,0
2019,66.35,33.32,0.24,0,0.07,0.02,0,0,0
2020,55.69,44.19,0,0,0,0.12,0,0,0
2021,53.12,46.67,0.03,0,0,0.18,0,0,0
2022,42.25,56.9,0,0,0,0.85,0,0,0
2023,40.43,59.49,0,0,0,0.08,0,0,0
2009,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0
