"Date","Windows","Linux","OS X","Unknown","Chrome OS","iOS","Playstation","Android","","Other"
2009,96.55,0.42,2.49,0.36,0,0,0.18,0,0,0
2010,95.98,0.49,3.29,0.11,0,0.08,0.05,0,0,0
2011,81.06,14.94,3.39,0.07,0,0.35,0.16,0.02,0,0.01
2012,78.01,16.91,3.73,0.08,0.01,0.81,0.13,0.11,0.19,0.03
2013,87.81,6.52,5.44,0.04,0.06,0,0,0.12,0,0
2014,91.63,2.24,4.97,0.61,0.49,0,0,0.05,0,0
2015,89.12,1.58,5.69,3,0.59,0,0,0,0,0.01
2016,80.98,1.18,6.88,9.92,1.03,0,0,0,0,0
2017,84.65,0.89,7.78,5.79,0.89,0,0,0,0,0
2018,80.09,0.91,9.19,8.56,1.24,0,0,0,0,0.01
2019,76.7,0.83,10,11.39,1.08,0,0,0,0,0
2020,74.04,1.12,15.05,7.77,2.02,0,0,0,0,0
2021,70.45,0.79,12.02,13.5,3.23,0,0,0,0,0
2022,67.66,0.69,13.42,14.47,3.76,0,0,0,0,0
2023,58.45,1.4,13.11,22.42,4.62,0,0,0,0,0
