"Date","Android","iOS","BlackBerry OS","Windows","Linux","Unknown","Playstation","Samsung","Series 40","SymbianOS","Nokia Unknown","Nintendo 3DS","LG","Other"
2012,25.59,54.68,10.73,0.84,0.26,0.44,2.37,0.31,1,2.51,0,0.31,0,0.96
2013,34.21,45.31,12.08,1.26,2.97,0.62,1.03,0.19,1.11,0.62,0,0.23,0.02,0.35
2014,53.18,31.39,9.32,1.39,2.8,0.72,0.42,0.08,0.27,0.23,0.01,0.01,0.09,0.09
2015,66.79,21.58,5.07,2.54,2.12,0.74,0.48,0.05,0.28,0.11,0.15,0.01,0.05,0.04
2016,73.89,18.17,2.98,2.91,0.34,0.79,0.41,0.13,0.11,0.07,0.16,0.01,0.02,0.03
2017,79.71,17.36,0.66,1.49,0.19,0.22,0.25,0.06,0,0.01,0.03,0.01,0,0.01
2018,81.47,16.72,0.19,1.3,0.04,0.05,0.09,0.1,0,0.02,0,0,0,0
2019,80.59,18.42,0.06,0.71,0.07,0,0.03,0.12,0,0,0,0,0,0
2020,83.06,16.51,0.02,0.22,0.03,0,0.01,0.15,0,0,0,0,0,0
2021,82.6,16.78,0.02,0.14,0,0,0,0.44,0,0,0,0,0,0
2022,78.93,20.46,0,0.01,0,0,0.01,0.58,0,0,0,0,0,0
2023,77.5,21.96,0,0.02,0,0,0.01,0.5,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
