"Date","Windows","Linux","OS X","Unknown","Chrome OS","iOS","Android","Other"
2009,97.39,1.25,1.3,0.05,0,0,0,0.02
2010,97.16,1.41,1.34,0.03,0,0.03,0,0.03
2011,95.86,2.6,1.28,0.02,0,0.18,0.03,0.03
2012,94.71,3.49,1.35,0.02,0,0.31,0.08,0.04
2013,91.62,6.79,1.43,0.03,0.01,0,0.11,0
2014,90.22,6.85,2.3,0.47,0.12,0,0.05,0
2015,88.65,5.8,2.92,2.45,0.19,0,0,0
2016,86.93,4.31,3.42,5.16,0.18,0,0,0
2017,89.06,3.81,5.03,1.92,0.18,0,0,0
2018,88.55,2.55,5.9,2.79,0.2,0,0,0
2019,83.99,1.96,8.42,5.5,0.13,0,0,0
2020,85.39,1.93,7.56,4.93,0.19,0,0,0
2021,83.31,2.26,2.43,11.72,0.28,0,0,0
2022,78.68,2.43,2.24,16.25,0.4,0,0,0
2023,73.34,2.57,2.48,21.14,0.46,0,0,0.01
