"Date","Android","iOS","BlackBerry OS","Series 40","Windows","Unknown","SymbianOS","Linux","Nokia Unknown","Samsung","Firefox OS","Playstation","bada","LG","Nintendo 3DS","Motorola","Nintendo","Sony Ericsson","webOS","Other"
2012,30.71,33.32,17.64,5.62,0.79,5.72,3.67,0.09,0.01,0.52,0,0.17,0.52,0.01,0.39,0.09,0.27,0.21,0.17,0.08
2013,43.94,28.15,13.09,4.97,0.91,4.6,1.93,0.34,0.01,0.59,0.02,0.17,0.31,0.2,0.21,0.05,0.26,0.12,0.11,0.03
2014,61.02,21.09,8.52,3.28,1.73,2.2,0.8,0.34,0.02,0.27,0.05,0.19,0.13,0.11,0.04,0.04,0.06,0.04,0.04,0.01
2015,71.36,12.69,6.45,3.11,2.36,1.6,0.55,0.48,0.44,0.15,0.34,0.14,0.09,0.07,0.04,0.06,0.02,0.04,0.02,0.01
2016,74.85,11.32,5.64,2.44,2.33,1.46,0.42,0.35,0.48,0.13,0.23,0.11,0.06,0.05,0.02,0.05,0.01,0.02,0,0.01
2017,80.47,9.84,3.05,1.74,1.78,1.77,0.37,0.18,0.29,0.11,0.12,0.09,0.04,0.06,0.02,0.03,0.01,0.02,0,0
2018,84.62,9.29,1.76,1.1,1.28,1.01,0.23,0.11,0.19,0.08,0.06,0.09,0.03,0.05,0.05,0.02,0.01,0.02,0,0
2019,86.47,9.27,0.99,0.96,1.03,0.55,0.15,0.1,0.15,0.06,0.03,0.09,0.02,0.06,0.03,0.02,0,0.01,0,0.01
2020,89.78,9.07,0.23,0.17,0.28,0.1,0.02,0.02,0.03,0.16,0.02,0.07,0,0.02,0,0,0,0,0,0.01
2021,92.26,7.07,0.1,0.1,0.07,0.04,0.02,0.02,0.02,0.22,0.01,0.05,0,0.01,0,0,0,0,0,0.02
2022,93.64,6.05,0.03,0.04,0.03,0.01,0,0.01,0.01,0.13,0.01,0.03,0,0,0,0,0,0,0,0.01
2023,93,6.76,0.01,0.02,0.03,0.01,0,0.01,0,0.13,0,0.02,0,0,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
