"Date","Android","iOS","Linux","Windows","BlackBerry OS","Samsung","Unknown","Series 40","Playstation","Nintendo 3DS","SymbianOS","webOS","Nokia Unknown","Nintendo","Other"
2012,16.69,76.6,0.02,0.24,4.2,0.04,0.06,0.32,0.12,0.23,0.25,0.65,0,0.35,0.23
2013,24.09,65.83,4.68,0.7,3.27,0.03,0.12,0.37,0.1,0.4,0.14,0.06,0,0.09,0.13
2014,31.29,60.09,3.48,2.85,1.61,0.14,0.14,0.14,0.17,0.01,0.05,0.01,0,0.01,0.01
2015,55.32,37.72,3.05,2.28,0.79,0.09,0.42,0.06,0.11,0.02,0.03,0,0.09,0,0.01
2016,52.38,44.92,0.12,1.5,0.57,0.03,0.27,0.1,0.02,0.01,0.01,0,0.07,0,0
2017,59.52,39.05,0.04,0.79,0.11,0.08,0.36,0,0.01,0,0.01,0,0.02,0,0.01
2018,62.84,36.68,0.01,0.17,0.04,0.04,0.21,0,0,0,0,0,0,0,0.01
2019,66.01,33.69,0.02,0.12,0.05,0.09,0.01,0,0,0,0,0,0,0,0.01
2020,66.18,33.61,0,0.02,0,0.18,0,0,0,0,0,0,0,0,0
2021,64,35.48,0,0,0,0.51,0.01,0,0,0,0,0,0,0,0
2022,48.98,50.61,0,0,0,0.41,0,0,0,0,0,0,0,0,0
2023,55.65,43.55,0,0.01,0,0.79,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
