"Date","iOS","Android","Windows","Linux","Nintendo 3DS","BlackBerry OS","Samsung","Playstation","SymbianOS","Unknown","webOS","Nintendo","Other"
2012,67.45,24.8,0.65,0.03,4.88,1.18,0.15,0.29,0.06,0.04,0.23,0.08,0.15
2013,63.93,29.3,0.99,2.74,1.67,0.66,0.04,0.19,0.24,0.05,0.08,0.09,0.01
2014,60.09,34.02,2.1,2.76,0.25,0.32,0,0.28,0.08,0.04,0.02,0.02,0.02
2015,53.69,39.11,3.9,2.57,0.26,0.18,0,0.2,0.02,0.03,0.01,0.01,0.03
2016,54.08,41.75,2.78,0.15,0.01,1.1,0.02,0.08,0,0.02,0,0,0
2017,57.24,42.05,0.55,0.02,0.01,0.03,0.02,0.03,0,0.05,0,0,0.01
2018,53.76,45.98,0.11,0.02,0.01,0.01,0.04,0,0.02,0.02,0,0,0.02
2019,49.92,49.86,0.07,0.01,0,0.01,0.08,0.01,0.01,0.02,0,0,0.01
2020,49.78,49.95,0.05,0.01,0,0,0.19,0,0,0.01,0,0,0
2021,57.34,41.92,0.01,0,0,0.01,0.72,0,0,0,0,0,0
2022,58.04,41.64,0.01,0,0,0,0.3,0,0,0,0,0,0
2023,58.87,40.72,0.02,0.04,0,0,0.35,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
