"Date","Android","Unknown","iOS","Series 40","Linux","Nokia Unknown","SymbianOS","Windows","Samsung","LG","BlackBerry OS","Motorola","Sony Ericsson","Playstation","KaiOS","Other"
2012,9.58,50.81,12.3,19.6,0.07,0,6.21,0.28,0.55,0,0.1,0.13,0.24,0.01,0,0.12
2013,31.36,23.84,8.87,24.15,0.21,0.12,4.63,1.17,2.68,1.96,0.31,0.46,0.21,0,0,0.04
2014,60.07,12.05,9.85,9.79,0.77,0.33,2.19,1,1.8,1.63,0.36,0.03,0.09,0.03,0,0.03
2015,77.15,5.32,6.09,2.03,3.97,2.88,0.29,1.42,0.3,0.27,0.14,0.01,0.07,0.06,0,0
2016,70,11.96,3.44,2.52,5.41,5.04,0.29,0.85,0.12,0.22,0.05,0.01,0,0.06,0,0.01
2017,28.79,64.26,3.4,0.28,0.49,2.45,0.01,0.1,0.07,0.12,0.01,0,0,0.01,0,0.01
2018,78.6,10.56,10.09,0.08,0.09,0.03,0.01,0.33,0.2,0.01,0,0,0,0,0,0
2019,90.57,0.12,9.14,0,0.02,0.01,0,0.13,0.01,0,0,0,0,0,0,0
2020,91.28,0,8.62,0,0.01,0,0,0.05,0.03,0,0,0,0,0,0,0
2021,90.68,0,9.07,0,0,0,0,0,0.15,0,0,0,0,0.01,0.08,0
2022,84.2,0,15.53,0,0,0,0,0,0.22,0,0,0,0,0,0.05,0
2023,79.01,0,20.71,0,0,0,0,0,0.24,0,0,0,0,0,0.03,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
