"Date","Windows","Unknown","OS X","Linux","Android","iOS","Other"
2009,99.47,0.07,0.37,0.08,0,0,0.01
2010,99.21,0.06,0.58,0.11,0,0.03,0.01
2011,99.09,0.05,0.56,0.08,0.03,0.19,0.01
2012,98.86,0.03,0.57,0.11,0.09,0.35,0.01
2013,98.67,0.02,0.67,0.23,0.42,0,0
2014,97.45,1,1.02,0.38,0.14,0,0.01
2015,94.82,3.4,1.21,0.56,0,0,0.01
2016,88.87,8.73,1.6,0.78,0,0,0.02
2017,88.07,8.51,2.64,0.76,0,0,0.02
2018,83.39,13.34,2.3,0.93,0,0,0.04
2019,83.11,14.35,1.97,0.55,0,0,0.01
2020,72.09,25.22,1.91,0.76,0,0,0.02
2021,59.47,37.23,1.02,2.26,0,0,0.02
2022,46.78,48.77,0.91,3.51,0,0,0.04
2023,47.72,46.77,1.15,4.31,0,0,0.04
