"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,95.37,3.32,0.13,1.16,0,0,0,0.02
2010,94.55,4.09,0.08,1.16,0.1,0,0,0.03
2011,92.86,4.79,0.05,1.12,0.97,0.18,0,0.03
2012,90.4,5.78,0.05,1.14,1.96,0.63,0,0.04
2013,91.8,6.39,0.03,1.31,0,0.46,0,0
2014,91.21,7.05,0.45,1.14,0,0.14,0.01,0
2015,86.57,7.63,4.5,1.27,0,0,0.03,0
2016,77.5,8.18,13.1,1.16,0,0,0.05,0
2017,81.46,11.07,6.09,1.26,0,0,0.12,0
2018,76.2,11.98,10.51,1.15,0,0,0.15,0.01
2019,69.85,12.29,16.67,1.06,0,0,0.13,0.01
2020,71.91,15.4,11.38,1.16,0,0,0.13,0.01
2021,72.03,10.43,16.34,1,0,0,0.18,0.03
2022,65.25,9.68,23.29,1.43,0,0,0.3,0.05
2023,59.04,8.92,28.53,3.16,0,0,0.31,0.05
