"Date","Windows","Unknown","OS X","Linux","iOS","Chrome OS","Android","Other"
2009,97.7,0.1,1.51,0.66,0,0,0,0.03
2010,95.62,0.07,2.96,1.27,0.06,0,0,0.02
2011,94.13,0.08,3.42,1.31,0.9,0,0.13,0.03
2012,94.23,0.09,3.25,0.97,1.11,0,0.28,0.06
2013,96.51,0.07,2.33,0.82,0,0.01,0.25,0
2014,95.19,0.44,3.47,0.77,0,0.06,0.08,0
2015,90.05,2.34,6.34,1.18,0,0.07,0,0.01
2016,86.8,6.43,5.67,1.02,0,0.07,0,0.01
2017,83.94,6.35,8.33,1.23,0,0.12,0,0.02
2018,77.97,12.06,8.84,1,0,0.13,0,0
2019,70.41,18.37,10.29,0.77,0,0.15,0,0.01
2020,74.67,15.98,8.14,1.01,0,0.17,0,0.02
2021,63.29,31.78,3.56,1.1,0,0.24,0,0.03
2022,64.57,30.12,3.5,1.42,0,0.36,0,0.02
2023,56.61,38.69,2.86,1.43,0,0.39,0,0.02
