"Date","Android","Unknown","Series 40","iOS","Samsung","SymbianOS","Windows","Nokia Unknown","Linux","BlackBerry OS","Sony Ericsson","LG","Tizen","bada","Brew","Motorola","Playstation","MeeGo","Other"
2012,14.19,13.81,27.21,7.18,10.93,19.26,1.37,0,0.21,1.53,3.06,0.59,0,0.14,0.2,0.16,0.01,0.07,0.09
2013,18.9,16.36,26.76,5.73,11.52,12.54,1.47,0.19,0.25,1.84,2.59,1.37,0,0.09,0.2,0.1,0.01,0.06,0.03
2014,27.19,19.82,24.86,4.18,8.29,6.93,2.57,0.92,0.27,1.88,1.72,1.07,0,0.11,0.06,0.04,0.02,0.06,0
2015,54.45,16.45,8.9,2.17,2.27,2.12,2.79,3.97,3.87,2.03,0.36,0.53,0,0.05,0.02,0.01,0.02,0.01,0
2016,63.43,13.99,4.85,2.04,1.3,1.08,3.87,3.66,3.01,2.2,0.1,0.38,0.01,0.04,0,0.01,0.02,0.01,0
2017,54.31,30.1,2.5,2.27,0.93,0.73,2.72,2.83,0.96,1.8,0.03,0.41,0.38,0.01,0,0,0.01,0.01,0
2018,68.66,21.26,1.06,2.54,0.28,0.38,2.2,0.8,0.91,1.2,0.01,0.12,0.53,0.01,0,0,0.03,0.01,0
2019,83.32,6.39,0.55,4.6,0.14,0.3,1.89,0.34,1.24,0.8,0.01,0.03,0.33,0,0,0,0.03,0,0.04
2020,87.95,3.04,0.14,6.71,0.08,0.05,0.52,0.11,0.89,0.22,0,0.01,0.15,0,0,0,0.02,0,0.09
2021,87.69,3.56,0.1,7.68,0.1,0.02,0.12,0.07,0.29,0.07,0,0.01,0.23,0,0,0,0,0,0.05
2022,87.24,2.96,0.06,9.17,0.09,0.02,0.05,0.03,0.12,0.03,0,0,0.2,0,0,0,0,0,0.02
2023,87.09,2.74,0.02,9.93,0.05,0.01,0.02,0.02,0.06,0.01,0,0,0.01,0,0,0,0,0,0.02
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
