"Date","Windows","OS X","Unknown","Linux","iOS","Chrome OS","Android","Other"
2009,95.66,2.41,0.19,1.63,0,0,0,0.11
2010,94.87,3.08,0.07,1.89,0.07,0,0,0.01
2011,92.84,3.92,0.11,2.51,0.55,0,0.06,0.02
2012,93.07,4.03,0.15,1.76,0.82,0,0.14,0.03
2013,95.06,3.08,0.04,1.58,0,0,0.23,0
2014,94.27,4.01,0.34,1.29,0,0.02,0.07,0
2015,93.45,3.88,1.18,1.44,0,0.04,0,0
2016,90.64,3.76,3.92,1.62,0,0.06,0,0
2017,88.34,6.14,4.01,1.4,0,0.09,0,0.01
2018,82.27,8.65,7.31,1.62,0,0.15,0,0
2019,80.86,9.49,8,1.51,0,0.13,0,0
2020,78.64,11.83,8.23,1.06,0,0.24,0,0
2021,74.52,6.71,17.34,1.14,0,0.29,0,0
2022,73.14,5.48,19.95,1.13,0,0.28,0,0.02
2023,71.15,5.28,21.95,1.31,0,0.31,0,0.01
