"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.88,0.67,0.09,0.33,0,0,0,0.03
2010,98.23,1.21,0.07,0.43,0.04,0,0,0.01
2011,97.39,1.64,0.06,0.5,0.34,0.06,0,0.02
2012,96.61,1.95,0.07,0.57,0.62,0.15,0,0.02
2013,96.79,2.26,0.03,0.71,0,0.21,0,0
2014,95.38,3.12,0.47,0.93,0,0.08,0.02,0
2015,93.33,3.97,1.82,0.85,0,0,0.03,0
2016,89.16,4.76,5.24,0.81,0,0,0.04,0
2017,88.04,6.82,4.03,1.04,0,0,0.07,0
2018,83.29,9.09,6.46,1.02,0,0,0.14,0
2019,79.05,10.08,9.76,1.02,0,0,0.09,0
2020,81.39,11,6.29,1.21,0,0,0.11,0
2021,79.78,6.07,12.6,1.36,0,0,0.18,0.01
2022,80.76,4.69,12.74,1.53,0,0,0.27,0.02
2023,67.72,5.45,23.87,2.53,0,0,0.4,0.02
