"Date","Android","iOS","Unknown","Series 40","BlackBerry OS","SymbianOS","Windows","Nokia Unknown","Linux","Samsung","LG","Sony Ericsson","Tizen","bada","Firefox OS","KaiOS","Playstation","Other"
2012,15.04,14.12,8.74,31.16,1.65,22.59,0.98,0,0.1,3.67,0.13,1.27,0,0.31,0,0,0.04,0.2
2013,21.47,9.76,11.89,29.45,8.66,11.5,0.87,0.17,0.22,3.88,0.77,1.07,0,0.2,0,0,0.02,0.09
2014,41.07,9.2,9.23,21.17,7.43,5.03,1.93,0.86,0.3,2.48,0.6,0.5,0,0.13,0,0,0.02,0.04
2015,62.42,6.12,6.55,9.83,4.6,1.87,2.14,2.58,2.38,0.97,0.28,0.14,0,0.06,0.03,0,0.02,0.01
2016,72.96,4.54,5.88,4.76,2.93,0.88,2.28,2.28,2.52,0.55,0.19,0.08,0.03,0.04,0.06,0,0.02,0.01
2017,72.61,6.63,11.1,2.86,1.53,0.55,1.6,1.48,0.52,0.35,0.19,0.1,0.38,0.02,0.04,0,0.01,0
2018,78.46,8.26,8.14,1.42,0.54,0.31,0.95,0.6,0.38,0.19,0.11,0.13,0.46,0.01,0.02,0,0.01,0
2019,81.73,12.63,3.25,0.61,0.19,0.15,0.44,0.26,0.27,0.12,0.04,0.05,0.23,0,0.01,0.02,0.01,0
2020,85.45,12.24,1.49,0.16,0.05,0.02,0.12,0.09,0.14,0.09,0.01,0,0.09,0,0,0.02,0,0
2021,81.28,16.68,1.5,0.09,0.02,0.01,0.02,0.05,0.11,0.15,0,0,0.05,0,0,0.03,0,0
2022,83.65,14.31,1.59,0.06,0.01,0.01,0.02,0.04,0.06,0.19,0,0,0.03,0,0,0.03,0,0
2023,83.8,13.91,1.85,0.05,0.01,0.01,0.01,0.03,0.04,0.16,0,0,0.02,0,0,0.1,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
