"Date","iOS","Android","Unknown","Windows","Samsung","Linux","Other"
2012,10,85,0,0,0,0,5
2013,0,92.31,0,0,0,0,7.69
2014,33.33,50,16.67,0,0,0,0
2015,43.48,47.83,0,4.35,0,0,4.35
2016,47.97,51.06,0,0.63,0.05,0.29,0
2017,71.7,27.62,0,0.66,0.03,0,0
2018,46.03,53.12,0.46,0.19,0.02,0.19,0
2019,72.25,27.61,0,0.1,0.04,0,0
2020,67.5,32.39,0,0.11,0,0,0
2021,30.85,68.94,0.05,0.01,0.07,0,0.07
2022,86.7,13.29,0,0,0.01,0,0
2023,98.66,1.07,0,0,0.25,0,0.02
2009,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0
