"Date","Windows","OS X","Unknown","Linux","iOS","Android","Chrome OS","Other"
2009,98.46,1.04,0.17,0.33,0,0,0,0.01
2010,98.05,1.44,0.11,0.34,0.05,0,0,0.02
2011,97.24,1.75,0.08,0.36,0.44,0.11,0,0.03
2012,96.27,2.19,0.1,0.38,0.76,0.24,0,0.06
2013,96.46,2.46,0.05,0.48,0,0.55,0,0
2014,95.18,3.14,0.77,0.71,0,0.18,0.02,0
2015,93.17,3.27,2.44,1.08,0,0,0.03,0
2016,88.35,4.46,5.94,1.2,0,0,0.04,0.01
2017,90.08,6.03,2.49,1.34,0,0,0.05,0
2018,84.4,7.9,6.18,1.42,0,0,0.09,0
2019,82.03,9.47,6.65,1.79,0,0,0.06,0
2020,82.86,11.32,4,1.73,0,0,0.08,0
2021,80.55,8.87,8.2,2.2,0,0,0.18,0.01
2022,80.42,8.79,7.36,3.17,0,0,0.26,0.01
2023,74.44,8.72,11.93,4.56,0,0,0.34,0
