"Date","Windows","OS X","Linux","Chrome OS","Unknown","iOS","Android","Playstation","","Nintendo","Other"
2009,89.39,9.41,0.66,0,0.21,0,0,0.27,0,0.04,0.01
2010,86.31,12.22,0.71,0,0.12,0.28,0,0.3,0,0.05,0.01
2011,83.61,13.66,0.75,0.01,0.06,1.46,0.08,0.3,0,0.05,0.02
2012,82.25,14.2,0.81,0.02,0.06,1.98,0.26,0.12,0.2,0.02,0.07
2013,84.14,13.92,1.26,0.09,0.18,0,0.4,0,0,0,0.01
2014,81.28,16,1.46,0.58,0.5,0,0.17,0,0,0,0
2015,77.86,17.91,1.82,1.09,1.31,0,0,0,0,0,0.02
2016,76.76,16.76,1.34,1.74,3.39,0,0,0,0,0,0.01
2017,74.62,20.31,1.52,2.46,1.09,0,0,0,0,0,0.01
2018,73.12,19.63,1.47,3.14,2.64,0,0,0,0,0,0.01
2019,69.7,20.78,1.45,4.06,4,0,0,0,0,0,0
2020,65.9,27.07,1.69,3.9,1.43,0,0,0,0,0,0.01
2021,63.45,26.36,1.91,5.63,2.65,0,0,0,0,0,0.01
2022,65.67,24.15,2.22,5.44,2.51,0,0,0,0,0,0.01
2023,58.2,30.05,2.24,7.01,2.5,0,0,0,0,0,0.02
