"Date","iOS","Android","Windows","BlackBerry OS","Linux","Series 40","Unknown","Samsung","SymbianOS","Playstation","Nintendo 3DS","Nokia Unknown","LG","webOS","Brew","Nintendo","Sony Ericsson","Other"
2012,60.9,30.42,0.92,2.98,0.08,1.71,0.87,0.48,0.56,0.22,0.29,0,0.01,0.2,0.07,0.09,0.09,0.1
2013,60.23,31.33,1.28,2.94,1.36,0.94,0.6,0.34,0.35,0.11,0.17,0,0.06,0.09,0.05,0.07,0.06,0.03
2014,57.35,36.73,1.47,1.34,1.51,0.64,0.32,0.19,0.15,0.09,0.04,0.03,0.06,0.03,0.02,0.02,0.02,0.01
2015,53.62,42.14,1.71,0.63,1.14,0.23,0.18,0.04,0.05,0.07,0.03,0.07,0.04,0.01,0.01,0,0.01,0.01
2016,53.25,44.4,1.07,0.56,0.14,0.09,0.21,0.07,0.02,0.05,0.01,0.08,0.02,0,0.01,0,0,0.01
2017,53.48,45.31,0.47,0.23,0.04,0.04,0.2,0.12,0.01,0.03,0.01,0.04,0.01,0,0.01,0,0,0
2018,53.82,45.57,0.22,0.07,0.03,0.01,0.13,0.08,0,0.02,0.01,0.01,0.01,0,0,0,0,0.01
2019,53.76,45.91,0.12,0.04,0.02,0.01,0.03,0.08,0,0.01,0,0,0,0,0,0,0,0.01
2020,54.55,45.23,0.04,0.02,0.01,0,0.02,0.11,0,0.01,0,0,0,0,0,0,0,0.01
2021,54.67,45.01,0.02,0.01,0,0,0.01,0.26,0,0.01,0,0,0,0,0,0,0,0.01
2022,53.7,45.98,0.02,0,0.01,0,0.01,0.27,0,0,0,0,0,0,0,0,0,0.01
2023,55.41,44.16,0.06,0,0.03,0,0.03,0.28,0.02,0,0,0,0,0,0,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
