"Date","iOS","Android","Windows","Unknown","Samsung","Series 40","SymbianOS","BlackBerry OS","Nokia Unknown","Linux","Playstation","Nintendo 3DS","Other"
2012,76.61,20.24,0.62,0.63,0.1,0.46,0.59,0.19,0,0.07,0.08,0.12,0.29
2013,74.31,22.41,1.07,0.73,0.12,0.57,0.26,0.14,0,0.09,0.04,0.06,0.18
2014,68.34,28.87,1.19,0.64,0.1,0.4,0.09,0.11,0.03,0.11,0.04,0.01,0.08
2015,64.52,32.51,1.67,0.55,0.07,0.13,0.08,0.14,0.12,0.13,0.03,0.01,0.05
2016,63.74,33.69,1.11,0.81,0.13,0.08,0.04,0.08,0.2,0.08,0.02,0.01,0.02
2017,61.21,35.59,0.51,1.94,0.11,0.33,0.05,0.03,0.15,0.03,0.02,0.01,0.01
2018,61.39,37.45,0.26,0.56,0.16,0.08,0.03,0.02,0.02,0.02,0.01,0,0.01
2019,60.04,39.53,0.15,0.05,0.19,0.01,0,0.01,0,0.01,0,0,0
2020,54.77,44.91,0.05,0.03,0.22,0,0,0,0,0,0,0,0
2021,56.14,42.74,0.03,0.02,1.06,0,0,0,0,0,0,0,0.01
2022,55.25,43.55,0.05,0.01,1.11,0,0,0,0,0,0,0,0.01
2023,58.49,40.61,0.06,0.01,0.8,0,0,0.01,0,0.01,0,0,0.01
2009,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0
