"Date","Android","iOS","Windows","Series 40","Unknown","BlackBerry OS","SymbianOS","Samsung","LG","Nokia Unknown","Linux","Motorola","Sony Ericsson","Playstation","bada","Firefox OS","MeeGo","Other"
2012,41.25,25.9,1.12,10.69,6.49,3.03,6.57,2.91,0.01,0,0.19,0.71,0.53,0.08,0.18,0,0.15,0.21
2013,50.86,25.04,2.82,8.4,4.02,2.29,3.04,1.39,0.95,0.03,0.17,0.39,0.27,0.05,0.1,0,0.08,0.09
2014,68.06,20.4,3.82,3.5,0.9,1.15,0.7,0.42,0.59,0.1,0.1,0.08,0.05,0.05,0.03,0.01,0.02,0.02
2015,75.45,14.51,4.68,2.12,0.45,0.88,0.4,0.16,0.31,0.62,0.23,0.03,0.02,0.05,0.01,0.04,0.01,0.01
2016,80.41,11.95,4.08,1.06,0.44,0.61,0.22,0.12,0.22,0.61,0.17,0.01,0.01,0.04,0.01,0.03,0,0
2017,84.81,10.44,2.26,0.51,0.64,0.21,0.14,0.19,0.33,0.34,0.06,0.01,0,0.02,0.01,0.01,0,0
2018,85.78,11.28,1.16,0.22,0.74,0.09,0.06,0.3,0.19,0.11,0.03,0,0,0.02,0,0.01,0,0.01
2019,87.24,11.39,0.56,0.08,0.32,0.04,0.02,0.25,0.02,0.03,0.02,0,0,0.01,0,0,0,0.01
2020,88.25,11.34,0.11,0.01,0.02,0.01,0,0.22,0,0,0,0,0,0.01,0,0,0,0
2021,88.24,11.46,0.02,0.01,0.01,0.01,0,0.23,0,0,0,0,0,0.01,0,0,0,0
2022,87.55,12.17,0.02,0.01,0.01,0,0,0.22,0,0,0,0,0,0,0,0,0,0
2023,84.34,15.33,0.02,0,0.02,0,0,0.27,0,0,0.01,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
