"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2009,94.73,4.27,0.16,0.69,0,0,0,0.12,0.02
2010,92.99,5.82,0.1,0.78,0,0.14,0,0.14,0.03
2011,91.52,6.6,0.06,0.79,0,0.79,0.07,0.14,0.03
2012,89.95,7.47,0.07,0.85,0.01,1.26,0.2,0.06,0.12
2013,90.68,7.67,0.09,1.1,0.03,0,0.42,0,0
2014,88.98,8.73,0.58,1.33,0.21,0,0.16,0,0
2015,86.96,9.35,1.69,1.63,0.37,0,0,0,0.01
2016,83.86,9.92,4.16,1.49,0.56,0,0,0,0.01
2017,83.78,11.99,1.82,1.64,0.78,0,0,0,0.01
2018,80.36,12.84,4.22,1.59,0.99,0,0,0,0.01
2019,77.81,14.23,5.06,1.68,1.21,0,0,0,0
2020,76.84,17.63,2.49,1.76,1.28,0,0,0,0
2021,74.76,16.04,4.92,2.2,2.07,0,0,0,0.01
2022,75.44,15.17,4.52,2.55,2.31,0,0,0,0.01
2023,68.28,18.71,6.55,3.01,3.43,0,0,0,0.01
